1, 44, 730, 2020-01-25
2, 41, 436, 2020-05-19
3, 23, 896, 2019-03-08
4, 31, 97, 2020-02-12
5, 60, 61, 2018-10-03
6, 4, 934, 2020-07-21
7, 18, 88, 2018-12-04
8, 32, 861, 2019-07-17
9, 59, 189, 2019-03-28
10, 46, 936, 2019-01-13
11, 16, 418, 2019-08-10
12, 39, 780, 2019-01-19
13, 27, 832, 2020-05-01
14, 7, 914, 2020-04-27
15, 78, 335, 2020-07-11
16, 24, 344, 2020-04-12
17, 22, 954, 2020-01-23
18, 26, 215, 2020-06-26
19, 53, 47, 2020-05-18
20, 5, 232, 2019-11-05
21, 66, 856, 2020-03-01
22, 12, 979, 2019-02-07
23, 25, 435, 2020-07-12
24, 50, 640, 2019-09-24
25, 56, 934, 2019-11-05
26, 37, 233, 2019-05-30
27, 53, 29, 2018-12-28
28, 69, 988, 2019-08-02
29, 69, 610, 2020-01-11
30, 40, 761, 2020-05-06
31, 28, 745, 2019-07-15
32, 8, 539, 2019-07-19
33, 70, 537, 2018-12-09
34, 37, 309, 2018-10-30
35, 48, 614, 2020-04-15
36, 44, 376, 2019-05-18
37, 58, 134, 2019-03-14
38, 75, 826, 2019-11-11
39, 45, 377, 2020-06-04
40, 18, 151, 2020-06-10
41, 30, 902, 2019-08-30
42, 12, 737, 2020-02-06
43, 39, 908, 2019-02-25
44, 37, 501, 2019-10-04
45, 35, 228, 2019-01-29
46, 10, 723, 2019-12-11
47, 2, 826, 2019-04-03
48, 54, 166, 2019-04-29
49, 79, 148, 2020-05-10
50, 2, 589, 2020-08-14
51, 46, 630, 2020-07-23
52, 9, 653, 2020-02-27
53, 44, 284, 2020-06-23
54, 16, 792, 2019-03-03
55, 61, 607, 2020-01-27
56, 3, 33, 2020-01-08
57, 23, 855, 2019-04-24
58, 64, 300, 2019-01-03
59, 62, 274, 2019-03-01
60, 21, 409, 2020-06-05
61, 63, 523, 2019-07-12
62, 23, 928, 2020-06-15
63, 32, 678, 2019-09-24
64, 14, 418, 2019-04-06
65, 38, 857, 2020-05-15
66, 51, 233, 2020-06-26
67, 41, 942, 2018-11-14
68, 16, 106, 2019-06-22
69, 59, 626, 2019-01-12
70, 63, 28, 2019-03-04
71, 35, 347, 2020-04-21
72, 49, 904, 2020-09-01
73, 35, 40, 2020-05-14
74, 69, 505, 2019-07-28
75, 31, 873, 2020-07-31
76, 4, 361, 2019-03-06
77, 76, 210, 2019-12-09
78, 47, 639, 2018-12-12
79, 56, 93, 2019-10-20
80, 36, 462, 2020-04-15
81, 10, 644, 2020-09-03
82, 2, 186, 2020-05-27
83, 5, 469, 2019-06-24
84, 16, 231, 2018-12-15
85, 19, 785, 2018-11-20
86, 41, 853, 2018-10-25
87, 34, 931, 2019-03-02
88, 6, 912, 2019-10-21
89, 36, 852, 2019-04-24
90, 59, 113, 2020-02-25
91, 50, 342, 2019-04-06
92, 31, 322, 2019-09-03
93, 4, 949, 2019-04-11
94, 36, 73, 2019-06-29
95, 15, 619, 2019-01-22
96, 71, 672, 2019-05-31
97, 68, 425, 2018-12-04
98, 53, 447, 2019-08-14
99, 55, 565, 2018-10-11
100, 55, 708, 2020-06-28
101, 67, 967, 2019-11-22
102, 51, 834, 2019-11-16
103, 40, 142, 2020-08-30
104, 30, 500, 2018-11-13
105, 52, 616, 2020-04-14
106, 41, 525, 2019-02-19
107, 63, 93, 2019-12-09
108, 5, 810, 2020-02-27
109, 8, 638, 2018-09-23
110, 48, 306, 2020-03-31
111, 25, 802, 2020-03-09
112, 12, 965, 2019-01-29
113, 34, 833, 2018-10-05
114, 77, 193, 2020-08-05
115, 14, 811, 2018-10-02
116, 75, 631, 2018-10-02
117, 11, 565, 2020-08-13
118, 59, 764, 2020-08-02
119, 52, 798, 2020-01-07
120, 72, 836, 2018-12-08
121, 4, 782, 2020-08-21
122, 78, 73, 2019-09-01
123, 32, 743, 2018-11-07
124, 29, 297, 2020-06-07
125, 51, 318, 2019-03-28
126, 71, 267, 2019-01-18
127, 57, 534, 2019-01-23
128, 19, 212, 2019-12-06
129, 49, 428, 2019-04-20
130, 44, 700, 2020-01-18
131, 36, 802, 2019-05-21
132, 30, 483, 2020-03-14
133, 20, 106, 2020-03-16
134, 54, 870, 2020-08-01
135, 21, 464, 2019-06-08
136, 26, 711, 2020-07-22
137, 15, 781, 2019-11-19
138, 44, 397, 2018-10-02
139, 40, 137, 2020-04-11
140, 35, 613, 2019-01-05
141, 70, 380, 2018-10-29
142, 4, 498, 2019-01-14
143, 73, 949, 2019-12-08
144, 75, 953, 2020-02-20
145, 44, 16, 2019-08-11
146, 29, 885, 2019-12-21
147, 23, 623, 2020-07-06
148, 73, 538, 2020-01-01
149, 15, 217, 2019-05-09
150, 60, 617, 2020-03-12
151, 62, 217, 2020-01-12
152, 5, 300, 2019-09-17
153, 65, 451, 2019-12-24
154, 79, 928, 2020-02-01
155, 42, 282, 2020-07-04
156, 57, 367, 2019-08-29
157, 50, 972, 2019-11-04
158, 25, 572, 2020-05-02
159, 22, 183, 2020-01-30
160, 72, 660, 2018-09-21
161, 13, 610, 2019-01-16
162, 38, 950, 2020-01-01
163, 32, 680, 2018-10-29
164, 70, 714, 2019-02-14
165, 41, 865, 2020-04-19
166, 56, 744, 2019-04-09
167, 34, 578, 2019-05-08
168, 52, 433, 2019-09-06
169, 43, 635, 2019-03-20
170, 71, 717, 2020-08-05
171, 11, 51, 2020-01-09
172, 73, 737, 2019-09-05
173, 52, 183, 2019-11-17
174, 52, 274, 2020-07-12
175, 79, 719, 2019-09-03
176, 21, 609, 2019-06-13
177, 18, 119, 2019-01-03
178, 47, 619, 2020-05-09
179, 67, 734, 2019-03-24
180, 21, 920, 2019-02-26
181, 54, 810, 2020-08-09
182, 10, 457, 2018-12-15
183, 28, 705, 2020-02-05
184, 61, 298, 2020-03-11
185, 74, 283, 2019-02-22
186, 39, 9, 2020-02-07
187, 4, 406, 2019-03-26
188, 33, 670, 2019-02-18
189, 7, 8, 2020-01-22
190, 79, 743, 2020-09-15
191, 71, 849, 2020-01-24
192, 28, 368, 2020-04-12
193, 21, 243, 2020-05-10
